uid rid mid hand crux k1 k2 k3 k4 hold.goodness cross big.move match
0 55 6 left false 4 41 5 45 -1 false false false
0 55 7 right false 4 51 5 55 0 false false false
0 55 8 left false 4 52 5 56 0 false false false
0 55 9 right false 33 62 44 68 0 false false false
0 55 10 right false 1 1 2 2 0 false true false
0 55 11 right false 26 63 45 69 1 false false false
0 55 12 left false 26 63 45 69 1 false false true
0 55 13 right false 23 53 38 58 -1 false false true
0 55 14 left false 1 1 1 1 0 false false false
0 55 15 right false 1 1 1 1 0 false false false
0 55 16 right false 4 54 26 59 1 false false false
0 55 17 right false 31 55 40 60 0 false false false
0 55 18 left false 23 66 30 72 1 false false false
0 55 19 right false 23 66 30 72 1 false false false
0 55 20 left false 31 55 40 60 0 false false false
0 55 21 left false 4 43 26 47 1 false false false
0 55 22 right false 4 43 26 47 1 false false true
0 55 23 right false 24 67 42 73 1 false false false
0 55 24 right false 24 57 42 63 1 false false false
0 55 25 left false 24 57 42 63 1 false false true
0 55 26 left false 31 55 40 60 0 false false false
0 55 27 left false 23 58 30 64 1 false false false
0 55 28 right false 23 58 30 64 1 false false true
0 55 29 right false 23 58 30 64 1 false false true
0 55 30 left false 4 43 26 47 1 false false false
0 55 31 left false 4 43 26 47 1 false false false
0 55 32 left false 4 43 26 47 1 false false false
0 55 33 left false 4 43 26 47 1 false false false
0 55 34 right false 4 43 26 47 1 false false false
0 55 35 right false 4 43 26 47 1 false false false
